"Booking Date","Value Date","Partner Name","Partner Iban",Type,"Payment Reference","Account Name","Amount (EUR)","Original Amount","Original Currency","Exchange Rate"
2025-02-01,2025-02-01,,,Interest,,"Mortgage Savings",4.52,,,
2025-02-01,2025-02-01,,,Tax,,"Mortgage Savings",-1.13,,,
2025-02-01,2025-02-01,,,Tax,,"Mortgage Savings",-0.06,,,
2025-02-05,2025-02-05,"Main Account",,"Debit Transfer",,"Mortgage Savings",-350,,,
2025-02-10,2025-02-10,"Main Account",,"Debit Transfer",,"Mortgage Savings",-500,,,
2025-02-16,2025-02-16,"Main Account",,"Debit Transfer",,"Mortgage Savings",-250,,,
2025-02-25,2025-02-25,"Main Account",,"Credit Transfer","Income Sorter","Mortgage Savings",1650.00,,,
2025-02-27,2025-02-27,,,Tax,,"Mortgage Savings",0.97,,,
2025-02-27,2025-02-27,,,Tax,,"Mortgage Savings",0.05,,,
2025-02-27,2025-02-27,,,Tax,,"Mortgage Savings",1.13,,,
2025-02-27,2025-02-27,,,Tax,,"Mortgage Savings",0.06,,,
2025-03-01,2025-03-01,,,Interest,,"Mortgage Savings",4.60,,,
2025-03-04,2025-03-04,"Main Account",,"Debit Transfer",,"Mortgage Savings",-300,,,
2025-03-15,2025-03-15,"Main Account",,"Debit Transfer",,"Mortgage Savings",-200,,,
2025-03-21,2025-03-21,"Main Account",,"Debit Transfer",,"Mortgage Savings",-100.00,,,
2025-03-23,2025-03-23,"Main Account",,"Debit Transfer",,"Mortgage Savings",-50.00,,,
2025-03-25,2025-03-25,"Main Account",,"Credit Transfer","Income sorter moved 45%","Mortgage Savings",1633.22,,,
2025-03-27,2025-03-27,"Main Account",,"Credit Transfer",,"Mortgage Savings",620.00,,,
2025-04-01,2025-04-01,,,Interest,,"Mortgage Savings",4.35,,,
2025-04-08,2025-04-08,"Main Account",,"Credit Transfer",,"Mortgage Savings",750.00,,,
2025-04-08,2025-04-08,"Main Account",,"Credit Transfer",,"Mortgage Savings",500.00,,,
2025-04-09,2025-04-09,"Main Account",,"Debit Transfer",,"Mortgage Savings",-1250.00,,,
2025-04-18,2025-04-18,"Main Account",,"Debit Transfer",,"Mortgage Savings",-100.00,,,
2025-04-25,2025-04-25,"Main Account",,"Credit Transfer","Income sorter moved 45%","Mortgage Savings",1613.70,,,
